barcode	ONT_native_barcode	number	batch	n	pathovar	sequenced_filemaker	original_filemaker	input-file	total.reads	total.gigabases	N50.length	mean.length	median.length	max.length	mean.q	median.q
barcode63	NB63	7,5	7	5	Xcr	6808	6330	63.tab	69892	1,6040677	35026	22950,7	19365,5	160080	11,8	12,2
barcode64	NB64	7,6	7	6	Xcr	6809	6335	64.tab	23075	0,456818	36098	19797,1	13011	176413	11,9	12,3
barcode65	NB65	7,7	7	7	Xcr	6810	6343	65.tab	33611	0,8746364	41361	26022,3	21151	206556	11,9	12,3
barcode66	NB66	7,8	7	8	Xcr	6811	6344	66.tab	37690	0,9969458	41391	26451,2	22108	169924	12	12,4
barcode67	NB67	7,9	7	9	Xcc	6812	3881	67.tab	54804	0,8928754	32091	16292,2	9419	157446	12	12,3
barcode68	NB68	7,1	7	10	Xcc	6813	5193	68.tab	62824	1,6742279	39664	26649,5	23885,5	196541	12	12,4
barcode69	NB69	7,11	7	11	Xcr	6814	6157	69.tab	25111	0,6625463	41289	26384,7	22034	181699	12	12,4
barcode70	NB70	7,12	7	12	Xcr	6815	6158	70.tab	47035	1,0126189	31510	21529,1	19225	137311	11,8	12,2
barcode71	NB71	7,14	7	14	Xcc	6817	4965	71.tab	36781	0,8907461	39380	24217,6	19151	161127	11,9	12,3
barcode72	NB72	7,15	7	15	Xcc	6818	5271	72.tab	68904	1,6024899	35589	23256,8	19816,5	153211	11,9	12,3
barcode73	NB73	7,16	7	16	Xcc	6819	5272	73.tab	59660	1,3510584	34343	22646	19843	120249	11,9	12,3
barcode74	NB74	7,17	7	17	Xcc	6820	5360	74.tab	34734	0,8371364	38399	24101,4	19359	158292	12	12,4
barcode75	NB75	7,18	7	18	Xcc	6821	5361	75.tab	75386	1,6371535	34173	21716,9	17779	146484	11,9	12,3
barcode76	NB76	8,1	8	1	Xcc	6822	5364	76.tab	110131	1,3155615	34547	11945,4	4077	179052	11,9	12,3
barcode77	NB77	8,2	8	2	Xcc	6823	5471	77.tab	43767	1,013384	40732	23154,1	16952	188272	11,9	12,3
barcode78	NB78	8,3	8	3	Xcc	6824	5470	78.tab	93811	1,6843484	35128	17954,7	10563	167983	11,9	12,3
barcode79	NB79	8,4	8	4	Xcc	6825	6474	79.tab	95812	0,7934244	19456	8281,1	3818	159641	11,8	12,2
barcode80	NB80	8,5	8	5	Xcc	6826	6475	80.tab	39925	0,6519042	31672	16328,2	9623	144562	11,9	12,3
barcode81	NB81	8,6	8	6	Xcr	6827	6684	81.tab	483526	3,46283	12049	7161,6	4020	153849	12	12,3
barcode82	NB82	8,7	8	7	Xcc	6828	6685	82.tab	44213	1,0493487	38362	23733,9	19053	142405	11,9	12,3
